orgao_sigla,document_type,stage,error_type,error_message,timestamp,url
AGU,diretivo,extraction,no_risk_table,Nenhuma tabela de risco encontrada em AGU_diretivo.pdf,2026-06-17T13:02:36.082031,
ANVISA,diretivo,extraction,no_risk_table,Nenhuma tabela de risco encontrada em ANVISA_diretivo.pdf,2026-06-17T13:02:44.873249,
FBN,diretivo,extraction,no_risk_table,Nenhuma tabela de risco encontrada em FBN_diretivo.pdf,2026-06-17T13:03:00.598195,
FCP,diretivo,extraction,no_risk_table,Nenhuma tabela de risco encontrada em FCP_diretivo.pdf,2026-06-17T13:03:05.227515,
FUNAI,diretivo,extraction,no_risk_table,Nenhuma tabela de risco encontrada em FUNAI_diretivo.pdf,2026-06-17T13:03:11.606753,
INCRA,diretivo,extraction,no_risk_table,Nenhuma tabela de risco encontrada em INCRA_diretivo.pdf,2026-06-17T13:03:14.879369,
ITI,diretivo,extraction,no_risk_table,Nenhuma tabela de risco encontrada em ITI_diretivo.pdf,2026-06-17T13:03:17.880390,
MAPA,diretivo,extraction,no_risk_table,Nenhuma tabela de risco encontrada em MAPA_diretivo.pdf,2026-06-17T13:03:22.524681,
MCOM,diretivo,extraction,no_risk_table,Nenhuma tabela de risco encontrada em MCOM_diretivo.pdf,2026-06-17T13:03:23.042534,
PREVIC,diretivo,extraction,no_risk_table,Nenhuma tabela de risco encontrada em PREVIC_diretivo.pdf,2026-06-17T13:03:39.087726,
