sigla,nome_completo,grupo,url_diretivo,url_entregas,pdf_path_diretivo,pdf_path_entregas
ABIN,Plano de Transformação Digital ABIN,,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/abin_ptd_anexo_de_entregas_assinado_pelo_orgao_assinado_assinado_copia_tarjada.pdf,,/home/user/PTD/ptd_output/pdfs/entregas/ABIN_entregas.pdf
AEB,Plano de Transformação Digital AEB:,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/aeb_ptd_2025_2027_docdiretivo_aprovado_assinado-1_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/aeb_ptd_2025_2027_anexo_de_entregas_aprovado_assinado-1_assinado_assinado-copia_tarjada.pdf,/home/user/PTD/ptd_output/pdfs/diretivo/AEB_diretivo.pdf,/home/user/PTD/ptd_output/pdfs/entregas/AEB_entregas.pdf
AGU,Plano de Transformação Digital AGU,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,/home/user/PTD/ptd_output/pdfs/diretivo/AGU_diretivo.pdf,/home/user/PTD/ptd_output/pdfs/entregas/AGU_entregas.pdf
ANA,Plano de Transformação Digital ANA:,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/ana_ptd_2025_2027_docdiretivo_assinado_assinado_assinado_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/ana_ptd_2025_2027_anexoentregas_assinado_assinado_assinado.pdf,/home/user/PTD/ptd_output/pdfs/diretivo/ANA_diretivo.pdf,/home/user/PTD/ptd_output/pdfs/entregas/ANA_entregas.pdf
ANAC,Plano de Transformação Digital ANAC:,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/anac_ptd_2025_2026_docdiretivo_se_assinado_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/anac_ptd_2025_2026_anexo_de_entregas_se_assinado.pdf,/home/user/PTD/ptd_output/pdfs/diretivo/ANAC_diretivo.pdf,/home/user/PTD/ptd_output/pdfs/entregas/ANAC_entregas.pdf
ANATEL,Plano de Transformação Digital ANATEL,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/anatel_ptd_docdiretivo_assinado_2025_2026_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/anatel_ptd_2025_2026_anexo_de_entregas_do_ptd_publicado.pdf,/home/user/PTD/ptd_output/pdfs/diretivo/ANATEL_diretivo.pdf,/home/user/PTD/ptd_output/pdfs/entregas/ANATEL_entregas.pdf
ANCINE,Plano de Transformação Digital ANCINE:,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/ancine_ptd_2024_2026_docdiretivo_assinado-2_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/ancine_ptd_2024_2026_-_anexo_de_entregas_aprovado_assinado-2_assinado_assinado-copia_tarjada.pdf,/home/user/PTD/ptd_output/pdfs/diretivo/ANCINE_diretivo.pdf,/home/user/PTD/ptd_output/pdfs/entregas/ANCINE_entregas.pdf
ANEEL,Plano de Transformação Digital ANEEL:,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/ptd_aneel_2025-2027_docdiretivo_assinado_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/ptd_aneel_2025-2027_anexo_de_entregas_assinado.pdf,/home/user/PTD/ptd_output/pdfs/diretivo/ANEEL_diretivo.pdf,/home/user/PTD/ptd_output/pdfs/entregas/ANEEL_entregas.pdf
ANM,Plano de Transformação Digital ANM:,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/anm_ptd_2025_2027_docdiretivo_assinadopeloorgao_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/anm_ptd_2025_2027_anexo_entregas_assinadopeloorgao.pdf,/home/user/PTD/ptd_output/pdfs/diretivo/ANM_diretivo.pdf,/home/user/PTD/ptd_output/pdfs/entregas/ANM_entregas.pdf
ANPD,Plano de Transformação Digital ANPD,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/anpd_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/anpd_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,/home/user/PTD/ptd_output/pdfs/diretivo/ANPD_diretivo.pdf,/home/user/PTD/ptd_output/pdfs/entregas/ANPD_entregas.pdf
