sigla,tipo,data_criacao_pdf,data_modificacao_pdf,vigencia,tamanho_kb
ABIN,entregas,2025-04-07,2025-04-07,,293
AEB,diretivo,2025-07-04,2025-07-04,,1034
AEB,entregas,2025-04-01,2025-04-01,,155
AGU,diretivo,2025-12-02,2025-12-02,,2860
AGU,entregas,2025-07-10,2025-07-10,,525
ANA,diretivo,2025-10-28,2025-10-28,,477
ANA,entregas,2025-09-05,2025-09-05,,171
ANAC,diretivo,2026-01-08,2026-01-08,,1036
ANAC,entregas,2025-11-28,2025-11-28,,215
ANATEL,diretivo,2025-03-07,2025-03-07,,1006
ANATEL,entregas,2025-11-07,2025-11-07,,72
ANCINE,diretivo,2025-07-04,2025-07-04,,962
ANCINE,entregas,2024-12-19,2024-12-19,,613
ANEEL,diretivo,2026-02-13,2026-02-13,,780
ANEEL,entregas,2026-02-05,2026-02-05,,112
ANM,diretivo,2026-01-08,2026-01-08,,1093
ANM,entregas,2026-01-07,2026-01-07,,1140
ANPD,diretivo,2025-10-31,2025-10-31,,1044
ANPD,entregas,2026-04-09,2026-04-09,,112
ANS,diretivo,2025-06-17,2025-06-17,,1023
ANS,entregas,2026-03-13,2026-03-13,,131
ANTAQ,diretivo,2025-11-21,2025-11-21,,1040
ANTAQ,entregas,2025-10-07,2025-10-07,,145
ANTT,diretivo,2026-05-16,2026-05-16,,528
ANTT,entregas,2026-05-06,2026-05-06,,79
ANVISA,diretivo,2025-07-04,2025-07-04,,5771
ANVISA,entregas,2025-05-19,2025-05-19,,239
BCB,diretivo,2025-07-04,2025-07-04,,714
BCB,entregas,2025-03-19,2025-03-19,,135
CADE,diretivo,2025-07-04,2025-07-04,,810
CADE,entregas,2025-03-28,2025-04-04,,504
CAPES,diretivo,2025-03-17,2025-03-17,,863
CAPES,entregas,2025-03-11,2025-03-11,,496
CENSIPAM,diretivo,2026-01-02,2026-01-02,,579
CENSIPAM,entregas,2025-11-16,2025-11-16,,187
CGU,diretivo,2025-12-03,2025-12-03,,1085
CGU,entregas,2025-03-28,2025-03-28,,514
CNPQ,diretivo,2025-07-15,2025-10-07,,343
