orgao_sigla,entry_type,field,original,normalizado,method,score,variation_type
ANAC,delivery,eixo,iServiços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,alias,0.95,alias
ANAC,delivery,eixo,iServiços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,alias,0.95,alias
ANAC,delivery,eixo,iServiços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,alias,0.95,alias
ANAC,delivery,eixo,iServiços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,alias,0.95,alias
ANAC,delivery,eixo,iServiços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,alias,0.95,alias
ANAC,delivery,eixo,iServiços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,alias,0.95,alias
ANAC,delivery,eixo,iServiços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,alias,0.95,alias
ANAC,delivery,eixo,iServiços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,alias,0.95,alias
ANAC,delivery,eixo,iServiços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,alias,0.95,alias
ANAC,delivery,eixo,iServiços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,alias,0.95,alias
ANAC,delivery,eixo,iServiços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,alias,0.95,alias
MTUR,delivery,eixo,PSegurança e Privacidade,Segurança e Privacidade,alias,0.95,alias
MTUR,delivery,eixo,PSegurança e Privacidade,Segurança e Privacidade,alias,0.95,alias
MTUR,delivery,eixo,PSegurança e Privacidade,Segurança e Privacidade,alias,0.95,alias
MTUR,delivery,eixo,PSegurança e Privacidade,Segurança e Privacidade,alias,0.95,alias
MTUR,delivery,eixo,PSegurança e Privacidade,Segurança e Privacidade,alias,0.95,alias
MTUR,delivery,eixo,PSegurança e Privacidade,Segurança e Privacidade,alias,0.95,alias
MTUR,delivery,eixo,PSegurança e Privacidade,Segurança e Privacidade,alias,0.95,alias
PGFN,delivery,eixo,Governaça e Gestão de Dados,Governança e Gestão de Dados,alias,0.95,alias
PGFN,delivery,eixo,Governaça e Gestão de Dados,Governança e Gestão de Dados,alias,0.95,alias
PGFN,delivery,eixo,Governaça e Gestão de Dados,Governança e Gestão de Dados,alias,0.95,alias
PGFN,delivery,eixo,Governaça e Gestão de Dados,Governança e Gestão de Dados,alias,0.95,alias
ANAC,delivery,eixo,iviços Digitais e Melhoria da Qualid,Serviços Digitais e Melhoria da Qualidade,fuzzy_high,0.909,aproximado
ANAC,delivery,eixo,iviços Digitais e Melhoria da Qualid,Serviços Digitais e Melhoria da Qualidade,fuzzy_high,0.909,aproximado
ANAC,delivery,eixo,iviços Digitais e Melhoria da Qualid,Serviços Digitais e Melhoria da Qualidade,fuzzy_high,0.909,aproximado
ANAC,delivery,eixo,iviços Digitais e Melhoria da Qualid,Serviços Digitais e Melhoria da Qualidade,fuzzy_high,0.909,aproximado
